jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,rbversion,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,obj_id
2458487.0231481,1,732523141515,20.66629981994629,/ztf/archive/sci/2019/0103/523125/ztf_20190103523125_000572_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,732,15,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t12_f5_c3,26.298200607299805,1.953659921127837e-05,0.03204699978232384,-0.10508300364017487,2.638789919728879e-05,ZTF18accwjiu
2458491.9546296,1,737454621515,19.9906005859375,/ztf/archive/sci/2019/0108/454630/ztf_20190108454630_000572_zg_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,737,15,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t12_f5_c3,25.575300216674805,2.719069925660733e-05,0.03703109920024872,-0.05263400077819824,4.0205999539466575e-05,ZTF18accwjiu
2458492.0288542,2,737528851515,19.80470085144043,/ztf/archive/sci/2019/0108/528808/ztf_20190108528808_000572_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,7.37528851515015e+17,t,40.0,737,15,572,1884.550048828125,2568.1201171875,156.6290039,15.3408099,19.2731990814209,0.1341949999332428,0.9716529846191406,19.26180076599121,0.21150000393390656,2.14520001411438,19.434999465942383,0.1289999932050705,6.565000057220459,0.824999988079071,0.27153900265693665,-0.01140500046312809,3.009999990463257,0.9760000109672546,512.3779907226562,0.5428640246391296,0.967199981212616,0.8949999809265137,0.8040000200271606,0.2973420023918152,0.2671099901199341,1.1131800413131714,1.0,0.0,0.6233329772949219,1.0,19.077199935913086,0.2289000004529953,156.6296058,15.3406459,12.5001,t12_f5_c3,25.948200225830078,1.642459938011598e-05,0.029520900920033455,0.11245399713516235,2.2193300537765026e-05,ZTF18accwjiu
2458492.9458218,2,738445821515,19.20829963684082,/ztf/archive/sci/2019/0109/445799/ztf_20190109445799_000572_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,,,,738,15,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t12_f5_c3,25.002899169921875,4.309490032028407e-05,0.04712900146842003,0.0960685983300209,5.790169961983338e-05,ZTF18accwjiu
2458493.9405556,2,739440551515,20.659500122070312,/ztf/archive/sci/2019/0110/440544/ztf_20190110440544_000572_zr_c04_o_q4_scimrefdiffimg.fits.fz,Kulkarni,1,7.39440551515015e+17,t,61.0,739,15,572,1881.3499755859375,2587.669921875,156.6289087,15.3408597,19.414600372314453,0.0858910009264946,3.585789918899536,19.435199737548828,0.15489999949932098,2.49072003364563,19.434999465942383,0.1289999932050705,6.565000057220459,0.824999988079071,0.26718801259994507,0.020591000095009804,1.840000033378601,0.9829999804496765,492.83099365234375,1.2243200540542603,1.2200900316238403,0.621999979019165,0.5870000123977661,0.3380430042743683,0.319021999835968,1.059630036354065,5.0,0.0,0.7114289999008179,0.96076500415802,19.325000762939453,0.17919999361038208,156.6296058,15.3406459,19.8581,t15_f5_c3,26.158599853515625,1.4069200005906168e-05,0.027199000120162964,0.0943123996257782,1.8940900190500543e-05,ZTF18accwjiu
2458486.9996528,2,732499655715,20.220699310302734,/ztf/archive/sci/2019/0103/499641/ztf_20190103499641_000521_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,7.32499655715015e+17,t,6.0,732,57,521,267.2019958496094,544.77099609375,156.628926,15.340836,19.159400939941406,0.10689699649810791,1.75232994556427,19.137399673461914,0.12690000236034393,2.6648199558258057,19.322999954223633,0.09000000357627869,6.216000080108643,0.3050000071525574,-0.3872770071029663,-0.02204499952495098,3.9600000381469727,0.9779999852180481,267.2019958496094,1.0832600593566895,0.7741280198097229,0.9010000228881836,0.8100000023841858,0.227524995803833,0.2045450061559677,1.1123499870300293,1.0,0.0,0.6533330082893372,1.0,19.045000076293945,0.14920000731945038,156.6296994,15.3407605,19.2538,t12_f5_c3,26.181400299072266,9.197079634759575e-06,0.02303989976644516,0.08749260008335114,1.2460400284908246e-05,ZTF18accwjiu
2458491.955081,1,737455085715,19.845600128173828,/ztf/archive/sci/2019/0108/455081/ztf_20190108455081_000521_zg_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,737,57,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t12_f5_c3,25.639299392700195,2.9433600502670743e-05,0.038849201053380966,-0.06974879652261734,4.694599920185283e-05,ZTF18accwjiu
2458492.9439815,2,738443985715,18.92099952697754,/ztf/archive/sci/2019/0109/443970/ztf_20190109443970_000521_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,7.38443985715015e+17,t,5.0,738,57,521,278.5480041503906,598.3809814453125,156.628874,15.3408676,19.317399978637695,0.32380300760269165,1.2726900577545166,18.90169906616211,0.39559999108314514,2.8575499057769775,19.322999954223633,0.09000000357627869,6.216000080108643,0.3050000071525574,-0.010778999887406826,-0.4156849980354309,1.2195600271224976,0.8659999966621399,278.5480041503906,0.019293999299407005,2.0,0.6420000195503235,0.5189999938011169,0.5264210104942322,0.4255650043487549,1.236989974975586,6.0,0.0,0.5600000023841858,0.8343499898910522,18.991300582885742,0.5516999959945679,156.6296994,15.3407605,5.61515,t12_f5_c3,25.01140022277832,2.6680500013753772e-05,0.038138099014759064,0.10136500000953674,3.65132000297308e-05,ZTF18accwjiu
2458493.9700463,2,739470045715,20.572900772094727,/ztf/archive/sci/2019/0110/470046/ztf_20190110470046_000521_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,7.39470045715015e+17,t,6.0,739,57,521,279.7080078125,540.6950073242188,156.6289573,15.3408567,19.36949920654297,0.11424200236797333,2.562380075454712,19.33169937133789,0.14169999957084656,2.5672600269317627,19.322999954223633,0.09000000357627869,6.216000080108643,0.3050000071525574,-0.1884389966726303,-0.03775399923324585,2.109999895095825,0.984000027179718,279.7080078125,1.2412199974060059,1.141160011291504,0.6890000104904175,0.6499999761581421,0.3265399932861328,0.3080570101737976,1.059999942779541,5.0,0.0,0.8442860245704651,0.99692302942276,19.404600143432617,0.19359999895095825,156.6296994,15.3407605,19.6754,t15_f5_c3,26.14550018310547,9.522949767415412e-06,0.0232768002897501,0.1052509993314743,1.2926800081913825e-05,ZTF18accwjiu
2458494.9564005,2,740456405715,20.56399917602539,/ztf/archive/sci/2019/0111/456389/ztf_20190111456389_000521_zr_c15_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,,,,740,57,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t15_f5_c3,26.131799697875977,1.1158000233990606e-05,0.025151200592517853,0.10991799831390381,1.5234099919325672e-05,ZTF18accwjiu
